somme 0 [2, 3, 7, 5, 8] (TypeHand.HIGH_CARD) 416$
somme 43 [6, 7, 5, K, 3] (TypeHand.HIGH_CARD) 471$
somme 44 [6, T, 2, Q, A] (TypeHand.HIGH_CARD) 248$
somme 45 [6, T, 4, 3, 9] (TypeHand.HIGH_CARD) 963$
somme 46 [6, T, 9, 8, Q] (TypeHand.HIGH_CARD) 516$
somme 47 [6, T, Q, 5, 4] (TypeHand.HIGH_CARD) 376$
somme 48 [6, Q, 3, T, 5] (TypeHand.HIGH_CARD) 415$
somme 49 [6, Q, 9, 8, 2] (TypeHand.HIGH_CARD) 221$
somme 50 [6, Q, T, 8, 3] (TypeHand.HIGH_CARD) 966$
somme 51 [6, K, 2, 7, Q] (TypeHand.HIGH_CARD) 939$
somme 52 [6, A, 5, Q, 3] (TypeHand.HIGH_CARD) 404$
somme 53 [7, 2, 5, T, 4] (TypeHand.HIGH_CARD) 836$
somme 54 [7, 2, A, 8, T] (TypeHand.HIGH_CARD) 791$
somme 55 [7, 3, 4, 9, 8] (TypeHand.HIGH_CARD) 967$
somme 56 [7, 4, T, 9, 8] (TypeHand.HIGH_CARD) 170$
somme 57 [7, 5, 3, Q, A] (TypeHand.HIGH_CARD) 570$
somme 58 [7, 5, 8, 2, K] (TypeHand.HIGH_CARD) 973$
somme 59 [7, 5, 8, 6, K] (TypeHand.HIGH_CARD) 839$
somme 60 [7, 5, Q, 4, A] (TypeHand.HIGH_CARD) 850$
somme 61 [7, 8, 5, 6, 4] (TypeHand.HIGH_CARD) 992$
somme 62 [7, T, 9, K, 3] (TypeHand.HIGH_CARD) 698$
somme 63 [7, Q, 3, 4, A] (TypeHand.HIGH_CARD) 417$
somme 64 [7, Q, 9, 8, 3] (TypeHand.HIGH_CARD) 97$
somme 65 [7, K, 2, 5, 4] (TypeHand.HIGH_CARD) 945$
somme 66 [7, K, 4, 9, A] (TypeHand.HIGH_CARD) 760$
somme 67 [7, K, T, A, 6] (TypeHand.HIGH_CARD) 750$
somme 68 [7, A, 3, 2, 5] (TypeHand.HIGH_CARD) 950$
somme 69 [8, 2, T, 9, 6] (TypeHand.HIGH_CARD) 393$
somme 70 [8, 3, 4, T, K] (TypeHand.HIGH_CARD) 366$
somme 71 [8, 3, Q, T, 5] (TypeHand.HIGH_CARD) 832$
somme 72 [8, 4, Q, A, 9] (TypeHand.HIGH_CARD) 229$
somme 73 [8, 5, 4, 3, 6] (TypeHand.HIGH_CARD) 926$
somme 74 [8, 7, A, 4, K] (TypeHand.HIGH_CARD) 734$
somme 75 [8, 9, 2, T, Q] (TypeHand.HIGH_CARD) 378$
somme 76 [8, T, Q, 7, K] (TypeHand.HIGH_CARD) 585$
somme 77 [8, K, 9, 4, Q] (TypeHand.HIGH_CARD) 691$
somme 78 [9, 8, Q, 3, 4] (TypeHand.HIGH_CARD) 109$
somme 79 [9, T, 4, 2, 8] (TypeHand.HIGH_CARD) 502$
somme 80 [9, T, 4, 2, Q] (TypeHand.HIGH_CARD) 485$
somme 81 [9, T, K, 7, 4] (TypeHand.HIGH_CARD) 704$
somme 82 [9, Q, 4, 3, K] (TypeHand.HIGH_CARD) 46$
somme 83 [9, Q, 7, 6, 5] (TypeHand.HIGH_CARD) 566$
somme 84 [T, 2, K, 6, 5] (TypeHand.HIGH_CARD) 536$
somme 85 [T, 4, 6, 3, 5] (TypeHand.HIGH_CARD) 744$
somme 86 [T, 5, 7, Q, 2] (TypeHand.HIGH_CARD) 519$
somme 87 [T, 6, 5, Q, 8] (TypeHand.HIGH_CARD) 576$
somme 88 [T, 8, 9, 6, 5] (TypeHand.HIGH_CARD) 288$
somme 89 [T, Q, 3, K, 8] (TypeHand.HIGH_CARD) 90$
somme 90 [T, Q, 4, 3, K] (TypeHand.HIGH_CARD) 743$
somme 91 [T, Q, 5, 8, A] (TypeHand.HIGH_CARD) 581$
somme 92 [Q, 2, 3, T, 9] (TypeHand.HIGH_CARD) 351$
somme 93 [Q, 2, 9, 6, 3] (TypeHand.HIGH_CARD) 899$
somme 94 [Q, 4, A, 8, 5] (TypeHand.HIGH_CARD) 759$
somme 95 [Q, 6, 7, 4, 5] (TypeHand.HIGH_CARD) 617$
somme 96 [Q, 7, 4, 6, K] (TypeHand.HIGH_CARD) 65$
somme 97 [Q, 7, 5, 8, K] (TypeHand.HIGH_CARD) 137$
somme 98 [Q, 7, 9, T, 3] (TypeHand.HIGH_CARD) 558$
somme 99 [Q, 8, T, 5, 4] (TypeHand.HIGH_CARD) 855$
somme 100 [Q, 9, A, 7, 3] (TypeHand.HIGH_CARD) 343$
somme 101 [Q, T, 3, 4, 5] (TypeHand.HIGH_CARD) 496$
somme 102 [Q, T, 4, 6, K] (TypeHand.HIGH_CARD) 493$
somme 103 [Q, T, 7, 9, A] (TypeHand.HIGH_CARD) 726$
somme 104 [Q, K, T, 9, 5] (TypeHand.HIGH_CARD) 425$
somme 105 [Q, A, 4, 8, K] (TypeHand.HIGH_CARD) 714$
somme 106 [Q, A, 5, 7, 2] (TypeHand.HIGH_CARD) 537$
somme 107 [Q, A, 7, 4, T] (TypeHand.HIGH_CARD) 755$
somme 108 [K, 2, 4, 7, Q] (TypeHand.HIGH_CARD) 740$
somme 109 [K, 3, 9, 2, T] (TypeHand.HIGH_CARD) 375$
somme 110 [K, 3, Q, 6, T] (TypeHand.HIGH_CARD) 60$
somme 111 [K, 3, A, 8, Q] (TypeHand.HIGH_CARD) 528$
somme 112 [K, 5, 3, 6, 8] (TypeHand.HIGH_CARD) 491$
somme 113 [K, 5, 3, T, 7] (TypeHand.HIGH_CARD) 587$
somme 114 [K, 5, 6, Q, T] (TypeHand.HIGH_CARD) 797$
somme 115 [K, 6, 7, 5, Q] (TypeHand.HIGH_CARD) 688$
somme 116 [K, 7, 2, Q, 9] (TypeHand.HIGH_CARD) 665$
somme 117 [K, 7, A, 3, Q] (TypeHand.HIGH_CARD) 444$
somme 118 [K, 8, 4, 5, 6] (TypeHand.HIGH_CARD) 239$
somme 119 [K, 8, 5, 3, T] (TypeHand.HIGH_CARD) 391$
somme 120 [K, 9, 7, T, 8] (TypeHand.HIGH_CARD) 732$
somme 121 [K, T, 8, 5, 9] (TypeHand.HIGH_CARD) 155$
somme 122 [K, A, 4, 5, 9] (TypeHand.HIGH_CARD) 13$
somme 123 [A, 2, 9, Q, 6] (TypeHand.HIGH_CARD) 756$
somme 124 [A, 5, 8, 7, 3] (TypeHand.HIGH_CARD) 985$
somme 125 [A, 5, 9, 6, 7] (TypeHand.HIGH_CARD) 478$
somme 126 [A, 5, Q, 2, T] (TypeHand.HIGH_CARD) 977$
somme 127 [A, 6, 4, Q, K] (TypeHand.HIGH_CARD) 723$
somme 128 [A, 6, 8, T, 2] (TypeHand.HIGH_CARD) 890$
somme 129 [A, 7, 4, K, 3] (TypeHand.HIGH_CARD) 121$
somme 130 [A, 8, 7, 2, 5] (TypeHand.HIGH_CARD) 531$
somme 131 [A, T, 6, Q, 4] (TypeHand.HIGH_CARD) 902$
somme 132 [J, 2, 4, 6, 7] (TypeHand.ONE_PAIR) 296$
somme 133 [J, 3, Q, A, 7] (TypeHand.ONE_PAIR) 988$
somme 134 [J, 4, K, 3, 7] (TypeHand.ONE_PAIR) 386$
somme 135 [J, 5, K, 3, 6] (TypeHand.ONE_PAIR) 117$
somme 136 [J, 6, 3, 9, 8] (TypeHand.ONE_PAIR) 392$
somme 137 [J, 8, K, 4, T] (TypeHand.ONE_PAIR) 809$
somme 138 [J, 8, K, Q, 3] (TypeHand.ONE_PAIR) 817$
somme 139 [J, 9, 6, Q, A] (TypeHand.ONE_PAIR) 628$
somme 140 [J, 9, 7, 2, T] (TypeHand.ONE_PAIR) 120$
somme 141 [J, 9, 7, A, 2] (TypeHand.ONE_PAIR) 312$
somme 142 [J, 9, 7, A, 4] (TypeHand.ONE_PAIR) 891$
somme 143 [J, T, 4, Q, 9] (TypeHand.ONE_PAIR) 323$
somme 144 [J, T, 7, 2, 8] (TypeHand.ONE_PAIR) 511$
somme 145 [J, Q, 8, 6, T] (TypeHand.ONE_PAIR) 801$
somme 146 [J, Q, K, 3, 4] (TypeHand.ONE_PAIR) 78$
somme 147 [J, K, 5, Q, 2] (TypeHand.ONE_PAIR) 328$
somme 148 [J, A, 8, K, 4] (TypeHand.ONE_PAIR) 580$
somme 149 [2, J, 9, 5, K] (TypeHand.ONE_PAIR) 428$
somme 150 [2, 2, 4, T, 6] (TypeHand.ONE_PAIR) 213$
somme 151 [2, 2, 6, K, 5] (TypeHand.ONE_PAIR) 17$
somme 152 [2, 3, 2, 4, Q] (TypeHand.ONE_PAIR) 220$
somme 153 [2, 3, 9, 8, 2] (TypeHand.ONE_PAIR) 997$
somme 154 [2, 3, Q, 9, 2] (TypeHand.ONE_PAIR) 322$
somme 155 [2, 3, A, 3, 6] (TypeHand.ONE_PAIR) 909$
somme 156 [2, 4, 9, 2, 6] (TypeHand.ONE_PAIR) 114$
somme 157 [2, 4, A, 5, J] (TypeHand.ONE_PAIR) 827$
somme 158 [2, 6, 4, 9, 4] (TypeHand.ONE_PAIR) 408$
somme 159 [2, 7, 2, 6, 8] (TypeHand.ONE_PAIR) 289$
somme 160 [2, 7, 7, 5, Q] (TypeHand.ONE_PAIR) 649$
somme 161 [2, 8, 3, T, T] (TypeHand.ONE_PAIR) 334$
somme 162 [2, 9, J, T, K] (TypeHand.ONE_PAIR) 211$
somme 163 [2, 9, 9, 8, K] (TypeHand.ONE_PAIR) 673$
somme 164 [2, 9, Q, J, 8] (TypeHand.ONE_PAIR) 195$
somme 165 [2, Q, J, 5, 8] (TypeHand.ONE_PAIR) 569$
somme 166 [2, A, J, 4, 9] (TypeHand.ONE_PAIR) 560$
somme 167 [3, J, 5, K, 9] (TypeHand.ONE_PAIR) 762$
somme 168 [3, J, A, 7, K] (TypeHand.ONE_PAIR) 469$
somme 169 [3, 2, 7, 2, 6] (TypeHand.ONE_PAIR) 545$
somme 170 [3, 3, 6, A, 4] (TypeHand.ONE_PAIR) 682$
somme 171 [3, 3, 8, Q, 7] (TypeHand.ONE_PAIR) 412$
somme 172 [3, 4, J, 5, 8] (TypeHand.ONE_PAIR) 132$
somme 173 [3, 4, A, K, A] (TypeHand.ONE_PAIR) 551$
somme 174 [3, 5, 2, 2, 9] (TypeHand.ONE_PAIR) 30$
somme 175 [3, 5, 6, A, 6] (TypeHand.ONE_PAIR) 957$
somme 176 [3, 6, 8, K, 8] (TypeHand.ONE_PAIR) 12$
somme 177 [3, 7, 5, 2, 5] (TypeHand.ONE_PAIR) 130$
somme 178 [3, 7, 8, J, Q] (TypeHand.ONE_PAIR) 572$
somme 179 [3, 7, 9, 3, A] (TypeHand.ONE_PAIR) 346$
somme 180 [3, 8, 5, K, J] (TypeHand.ONE_PAIR) 602$
somme 181 [3, 8, T, 4, 3] (TypeHand.ONE_PAIR) 856$
somme 182 [3, 8, T, A, J] (TypeHand.ONE_PAIR) 224$
somme 183 [3, 9, 2, 3, Q] (TypeHand.ONE_PAIR) 532$
somme 184 [3, 9, 4, Q, Q] (TypeHand.ONE_PAIR) 108$
somme 185 [3, 9, T, 4, J] (TypeHand.ONE_PAIR) 470$
somme 186 [3, 9, Q, 4, 4] (TypeHand.ONE_PAIR) 663$
somme 187 [3, T, 2, K, 2] (TypeHand.ONE_PAIR) 941$
somme 188 [3, A, 9, A, Q] (TypeHand.ONE_PAIR) 550$
somme 189 [4, J, K, 8, 5] (TypeHand.ONE_PAIR) 463$
somme 190 [4, 2, 8, J, T] (TypeHand.ONE_PAIR) 910$
somme 191 [4, 3, J, K, A] (TypeHand.ONE_PAIR) 387$
somme 192 [4, 4, T, 2, A] (TypeHand.ONE_PAIR) 409$
somme 193 [4, 5, 2, J, 3] (TypeHand.ONE_PAIR) 297$
somme 194 [4, 5, 7, 8, 8] (TypeHand.ONE_PAIR) 276$
somme 195 [4, 7, 8, 7, 6] (TypeHand.ONE_PAIR) 59$
somme 196 [4, 8, J, 5, 6] (TypeHand.ONE_PAIR) 604$
somme 197 [4, 8, 8, A, 5] (TypeHand.ONE_PAIR) 757$
somme 198 [4, 8, K, 4, 9] (TypeHand.ONE_PAIR) 75$
somme 199 [4, 9, 2, 5, J] (TypeHand.ONE_PAIR) 127$
somme 200 [4, T, 9, 2, 2] (TypeHand.ONE_PAIR) 115$
somme 201 [4, A, 6, J, 5] (TypeHand.ONE_PAIR) 178$
somme 202 [4, A, 6, 9, J] (TypeHand.ONE_PAIR) 998$
somme 203 [5, 3, T, 9, 9] (TypeHand.ONE_PAIR) 517$
somme 204 [5, 3, K, K, 2] (TypeHand.ONE_PAIR) 746$
somme 205 [5, 4, 6, 5, A] (TypeHand.ONE_PAIR) 70$
somme 206 [5, 5, 2, K, 3] (TypeHand.ONE_PAIR) 804$
somme 207 [5, 7, J, 4, 2] (TypeHand.ONE_PAIR) 437$
somme 208 [5, 7, 7, A, 3] (TypeHand.ONE_PAIR) 526$
somme 209 [5, 7, 9, 2, 7] (TypeHand.ONE_PAIR) 766$
somme 210 [5, 8, 9, K, K] (TypeHand.ONE_PAIR) 686$
somme 211 [5, 8, K, 8, 4] (TypeHand.ONE_PAIR) 462$
somme 212 [5, 9, 4, 2, 9] (TypeHand.ONE_PAIR) 418$
somme 213 [5, T, 6, 6, 4] (TypeHand.ONE_PAIR) 807$
somme 214 [5, Q, 9, 5, A] (TypeHand.ONE_PAIR) 942$
somme 215 [5, K, K, 7, 4] (TypeHand.ONE_PAIR) 904$
somme 216 [5, K, A, 2, 2] (TypeHand.ONE_PAIR) 522$
somme 217 [5, A, 6, T, 6] (TypeHand.ONE_PAIR) 565$
somme 218 [6, 2, T, 9, 9] (TypeHand.ONE_PAIR) 876$
somme 219 [6, 2, K, 2, T] (TypeHand.ONE_PAIR) 993$
somme 220 [6, 3, 8, 7, 8] (TypeHand.ONE_PAIR) 482$
somme 221 [6, 4, 6, 3, Q] (TypeHand.ONE_PAIR) 648$
somme 222 [6, 5, J, Q, 4] (TypeHand.ONE_PAIR) 499$
somme 223 [6, 5, 2, 5, A] (TypeHand.ONE_PAIR) 215$
somme 224 [6, 6, 8, 2, 9] (TypeHand.ONE_PAIR) 413$
somme 225 [6, 7, 3, T, T] (TypeHand.ONE_PAIR) 149$
somme 226 [6, 7, 6, A, 2] (TypeHand.ONE_PAIR) 754$
somme 227 [6, 7, K, 3, 6] (TypeHand.ONE_PAIR) 694$
somme 228 [6, T, T, 4, 8] (TypeHand.ONE_PAIR) 218$
somme 229 [6, T, T, 9, 4] (TypeHand.ONE_PAIR) 487$
somme 230 [6, Q, T, T, 5] (TypeHand.ONE_PAIR) 339$
somme 231 [6, A, 2, 6, 9] (TypeHand.ONE_PAIR) 623$
somme 232 [6, A, 6, Q, 3] (TypeHand.ONE_PAIR) 188$
somme 233 [7, J, 5, 2, Q] (TypeHand.ONE_PAIR) 185$
somme 234 [7, 2, T, 9, T] (TypeHand.ONE_PAIR) 186$
somme 235 [7, 3, 7, Q, 6] (TypeHand.ONE_PAIR) 908$
somme 236 [7, 3, 8, 3, 2] (TypeHand.ONE_PAIR) 247$
somme 237 [7, 3, T, 7, 2] (TypeHand.ONE_PAIR) 868$
somme 238 [7, 4, Q, K, J] (TypeHand.ONE_PAIR) 261$
somme 239 [7, 5, J, A, 9] (TypeHand.ONE_PAIR) 838$
somme 240 [7, 5, 5, A, Q] (TypeHand.ONE_PAIR) 402$
somme 241 [7, 7, 6, 9, K] (TypeHand.ONE_PAIR) 365$
somme 242 [7, 8, 2, 2, 5] (TypeHand.ONE_PAIR) 453$
somme 243 [7, 8, 2, T, 7] (TypeHand.ONE_PAIR) 823$
somme 244 [7, 9, 2, 6, 9] (TypeHand.ONE_PAIR) 501$
somme 245 [7, 9, 9, 5, 4] (TypeHand.ONE_PAIR) 664$
somme 246 [7, 9, A, 8, J] (TypeHand.ONE_PAIR) 831$
somme 247 [7, T, 8, 9, 8] (TypeHand.ONE_PAIR) 190$
somme 248 [7, T, 9, 8, J] (TypeHand.ONE_PAIR) 84$
somme 249 [7, T, K, 8, T] (TypeHand.ONE_PAIR) 242$
somme 250 [7, Q, 9, J, K] (TypeHand.ONE_PAIR) 454$
somme 251 [7, A, 6, A, 9] (TypeHand.ONE_PAIR) 640$
somme 252 [7, A, 7, 4, 5] (TypeHand.ONE_PAIR) 285$
somme 253 [8, 2, A, A, 7] (TypeHand.ONE_PAIR) 716$
somme 254 [8, 5, 6, 3, 3] (TypeHand.ONE_PAIR) 439$
somme 255 [8, 5, 7, 3, J] (TypeHand.ONE_PAIR) 753$
somme 256 [8, 6, T, 5, 8] (TypeHand.ONE_PAIR) 48$
somme 257 [8, 7, 2, 2, K] (TypeHand.ONE_PAIR) 978$
somme 258 [8, 8, Q, 2, 6] (TypeHand.ONE_PAIR) 994$
somme 259 [8, 9, 4, 9, 2] (TypeHand.ONE_PAIR) 529$
somme 260 [8, T, 5, 8, K] (TypeHand.ONE_PAIR) 975$
somme 261 [8, T, 5, 8, A] (TypeHand.ONE_PAIR) 811$
somme 262 [8, T, T, 5, 6] (TypeHand.ONE_PAIR) 401$
somme 263 [8, T, Q, J, K] (TypeHand.ONE_PAIR) 656$
somme 264 [8, Q, 8, 4, 6] (TypeHand.ONE_PAIR) 892$
somme 265 [8, Q, Q, 5, 3] (TypeHand.ONE_PAIR) 310$
somme 266 [9, 2, J, 3, A] (TypeHand.ONE_PAIR) 33$
somme 267 [9, 2, 2, 8, 4] (TypeHand.ONE_PAIR) 725$
somme 268 [9, 2, Q, 9, 5] (TypeHand.ONE_PAIR) 702$
somme 269 [9, 3, 6, 5, 3] (TypeHand.ONE_PAIR) 593$
somme 270 [9, 3, T, J, 7] (TypeHand.ONE_PAIR) 721$
somme 271 [9, 3, Q, A, 3] (TypeHand.ONE_PAIR) 833$
somme 272 [9, 5, 9, Q, K] (TypeHand.ONE_PAIR) 348$
somme 273 [9, 5, Q, 5, 8] (TypeHand.ONE_PAIR) 240$
somme 274 [9, 6, T, 7, T] (TypeHand.ONE_PAIR) 4$
somme 275 [9, 6, A, 9, 8] (TypeHand.ONE_PAIR) 55$
somme 276 [9, K, 2, 7, 7] (TypeHand.ONE_PAIR) 300$
somme 277 [9, A, 2, T, A] (TypeHand.ONE_PAIR) 483$
somme 278 [9, A, 3, 8, 8] (TypeHand.ONE_PAIR) 779$
somme 279 [9, A, 9, T, 6] (TypeHand.ONE_PAIR) 282$
somme 280 [T, J, 5, 2, A] (TypeHand.ONE_PAIR) 299$
somme 281 [T, J, 7, 4, 6] (TypeHand.ONE_PAIR) 654$
somme 282 [T, 2, 3, T, A] (TypeHand.ONE_PAIR) 95$
somme 283 [T, 3, 3, K, Q] (TypeHand.ONE_PAIR) 969$
somme 284 [T, 4, 2, 3, 3] (TypeHand.ONE_PAIR) 143$
somme 285 [T, 4, 4, A, 6] (TypeHand.ONE_PAIR) 498$
somme 286 [T, 4, Q, 2, T] (TypeHand.ONE_PAIR) 984$
somme 287 [T, 4, Q, K, K] (TypeHand.ONE_PAIR) 637$
somme 288 [T, 4, A, 2, 2] (TypeHand.ONE_PAIR) 367$
somme 289 [T, 5, 7, 3, J] (TypeHand.ONE_PAIR) 790$
somme 290 [T, 5, T, 9, 3] (TypeHand.ONE_PAIR) 193$
somme 291 [T, 5, A, K, A] (TypeHand.ONE_PAIR) 256$
somme 292 [T, 6, 9, 2, 2] (TypeHand.ONE_PAIR) 736$
somme 293 [T, 6, T, Q, 7] (TypeHand.ONE_PAIR) 104$
somme 294 [T, 7, 6, 2, J] (TypeHand.ONE_PAIR) 901$
somme 295 [T, 8, J, 2, A] (TypeHand.ONE_PAIR) 266$
somme 296 [T, 8, J, A, 5] (TypeHand.ONE_PAIR) 338$
somme 297 [T, 8, 7, 6, T] (TypeHand.ONE_PAIR) 82$
somme 298 [T, 9, 8, 5, J] (TypeHand.ONE_PAIR) 440$
somme 299 [T, 9, A, 6, T] (TypeHand.ONE_PAIR) 473$
somme 300 [T, Q, J, 3, A] (TypeHand.ONE_PAIR) 449$
somme 301 [T, A, 9, Q, Q] (TypeHand.ONE_PAIR) 337$
somme 302 [Q, 2, 8, J, 6] (TypeHand.ONE_PAIR) 350$
somme 303 [Q, 2, T, Q, 5] (TypeHand.ONE_PAIR) 525$
somme 304 [Q, 3, 7, 9, J] (TypeHand.ONE_PAIR) 837$
somme 305 [Q, 3, A, 9, 9] (TypeHand.ONE_PAIR) 38$
somme 306 [Q, 5, 7, 7, 6] (TypeHand.ONE_PAIR) 129$
somme 307 [Q, 5, 8, 6, 6] (TypeHand.ONE_PAIR) 861$
somme 308 [Q, 5, A, 8, J] (TypeHand.ONE_PAIR) 238$
somme 309 [Q, 7, 6, 7, K] (TypeHand.ONE_PAIR) 138$
somme 310 [Q, 7, A, A, 2] (TypeHand.ONE_PAIR) 79$
somme 311 [Q, 9, 4, Q, 2] (TypeHand.ONE_PAIR) 813$
somme 312 [Q, 9, T, 7, 9] (TypeHand.ONE_PAIR) 524$
somme 313 [Q, T, 5, J, K] (TypeHand.ONE_PAIR) 906$
somme 314 [Q, T, T, 4, 7] (TypeHand.ONE_PAIR) 748$
somme 315 [Q, Q, 8, 6, 4] (TypeHand.ONE_PAIR) 675$
somme 316 [Q, K, 3, 7, K] (TypeHand.ONE_PAIR) 144$
somme 317 [K, 2, 8, 8, 5] (TypeHand.ONE_PAIR) 821$
somme 318 [K, 3, 4, 4, T] (TypeHand.ONE_PAIR) 124$
somme 319 [K, 3, 5, 8, K] (TypeHand.ONE_PAIR) 563$
somme 320 [K, 4, J, 8, 7] (TypeHand.ONE_PAIR) 769$
somme 321 [K, 4, 5, 5, 6] (TypeHand.ONE_PAIR) 57$
somme 322 [K, 4, K, T, 5] (TypeHand.ONE_PAIR) 420$
somme 323 [K, 6, Q, J, 7] (TypeHand.ONE_PAIR) 696$
somme 324 [K, 6, K, 4, 5] (TypeHand.ONE_PAIR) 209$
somme 325 [K, 7, 9, J, A] (TypeHand.ONE_PAIR) 718$
somme 326 [K, 8, 4, J, 2] (TypeHand.ONE_PAIR) 100$
somme 327 [K, 9, 3, K, 5] (TypeHand.ONE_PAIR) 67$
somme 328 [K, 9, 7, 9, 8] (TypeHand.ONE_PAIR) 660$
somme 329 [K, T, 9, J, 4] (TypeHand.ONE_PAIR) 960$
somme 330 [K, Q, 3, A, 3] (TypeHand.ONE_PAIR) 586$
somme 331 [K, Q, K, 5, 4] (TypeHand.ONE_PAIR) 918$
somme 332 [K, K, 6, Q, 4] (TypeHand.ONE_PAIR) 575$
somme 333 [K, K, Q, 9, 2] (TypeHand.ONE_PAIR) 326$
somme 334 [K, A, 5, 2, J] (TypeHand.ONE_PAIR) 651$
somme 335 [K, A, K, 5, T] (TypeHand.ONE_PAIR) 894$
somme 336 [K, A, A, 9, 2] (TypeHand.ONE_PAIR) 818$
somme 337 [A, J, K, T, 8] (TypeHand.ONE_PAIR) 940$
somme 338 [A, 2, 8, 8, 3] (TypeHand.ONE_PAIR) 452$
somme 339 [A, 2, Q, 5, J] (TypeHand.ONE_PAIR) 37$
somme 340 [A, 3, 2, Q, Q] (TypeHand.ONE_PAIR) 181$
somme 341 [A, 3, 8, 3, Q] (TypeHand.ONE_PAIR) 557$
somme 342 [A, 5, 5, 7, 4] (TypeHand.ONE_PAIR) 590$
somme 343 [A, 7, K, A, 8] (TypeHand.ONE_PAIR) 731$
somme 344 [A, 7, A, 8, T] (TypeHand.ONE_PAIR) 659$
somme 345 [A, 8, 8, 6, Q] (TypeHand.ONE_PAIR) 492$
somme 346 [A, 9, Q, 7, A] (TypeHand.ONE_PAIR) 291$
somme 347 [A, T, 9, J, 3] (TypeHand.ONE_PAIR) 447$
somme 348 [A, A, Q, K, 2] (TypeHand.ONE_PAIR) 52$
somme 349 [2, 2, 5, 5, Q] (TypeHand.TWO_PAIR) 86$
somme 350 [2, 2, 6, 6, 5] (TypeHand.TWO_PAIR) 103$
somme 351 [2, 2, K, 4, K] (TypeHand.TWO_PAIR) 870$
somme 352 [2, 2, K, K, 6] (TypeHand.TWO_PAIR) 306$
somme 353 [2, 6, 3, 3, 6] (TypeHand.TWO_PAIR) 594$
somme 354 [2, 9, 2, 9, K] (TypeHand.TWO_PAIR) 424$
somme 355 [2, A, 2, K, A] (TypeHand.TWO_PAIR) 436$
somme 356 [2, A, K, A, K] (TypeHand.TWO_PAIR) 77$
somme 357 [2, A, A, 2, 6] (TypeHand.TWO_PAIR) 738$
